community_id,community_name,url,district,township,address,longitude,latitude,age,developer,property_company,property_type,property_fee,total_construction_area,volume_rate,total_houses,parking_space,green_rate,greet,comfort,traffic_score,metro_station_num,bus_station_num,hospital_score,level_three_num,level_two_num,level_one_num,level_comm_num,school_score,nursery_num,junior_num,middle_num,commerce_score,restaurant_num,bank_num,supermarket_num,average_price
123,由由六村,https://shanghai.anjuke.com/community/view/123/,浦东,北蔡,严民路280弄,31.19604801,121.5351589,2000,上海由由房地产开发有限公司,上海由由物业管理有限公司,公寓,0.7,20000.0,2.0,900.0,300.0,20.0,10.0,6.0,9.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,41.0,60.0,58186
123879,北中路270号,https://shanghai.anjuke.com/community/view/123879/,浦东,北蔡,莲中路255弄,31.18952201,121.562974,1998,上海北蔡房地产发展有限公司,上海三凌物业管理有限公司,公寓,0.8,33500.0,1.7,300.0,60.0,32.0,6.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,276.0,47.0,0.0,49818
124722,紫叶路66弄,https://shanghai.anjuke.com/community/view/124722/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,33500.0,1.79,560.0,120.0,31.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54615
127,由由二村,https://shanghai.anjuke.com/community/view/127/,浦东,北蔡,严民路40弄1-50号,31.19779613,121.5344649,1998,其它,上海由由物业管理有限公司,公寓,0.7,23400.0,2.0,360.0,90.0,20.0,10.0,6.0,9.0,1.0,21.0,7.0,4.0,6.0,8.0,466.0,7.0,6.0,1.0,3.0,10.0,103.0,40.0,56.0,58358
128,由由一村,https://shanghai.anjuke.com/community/view/128/,浦东,北蔡,严杨路30弄,31.20069871,121.53623799999998,1997,其它,上海由由物业管理有限公司,公寓,0.6,120000.0,2.0,1800.0,300.0,20.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,58005
129166,白杨小区,https://shanghai.anjuke.com/community/view/129166/,浦东,北蔡,白杨路1155弄,31.19938081,121.5659675,1995,上海花木开发有限公司,上海陆家嘴物业管理有限公司,公寓,0.43,11180.0,1.6,500.0,180.0,35.0,10.0,8.0,5.0,1.0,0.0,10.0,2.0,1.0,1.0,259.0,0.0,0.0,0.0,0.0,10.0,300.0,55.0,123.0,56994
129792,北蔡大街31弄,https://shanghai.anjuke.com/community/view/129792/,浦东,北蔡,北蔡大街路31弄,31.19378335,121.5601573,1985,其它,其它,老公房,0.3,3258.0,0.8,68.0,42.0,45.0,8.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47560
13030,高科西路2673弄,https://shanghai.anjuke.com/community/view/13030/,浦东,北蔡,高科西路2673弄,31.19177021,121.5557781,1994,其它,其它,老公房,0.3,33500.0,0.02,560.0,150.0,40.0,8.0,9.0,5.0,2.0,0.0,10.0,2.0,3.0,2.0,268.0,0.0,0.0,0.0,0.0,10.0,245.0,51.0,105.0,56231
130683,北艾路1200弄,https://shanghai.anjuke.com/community/view/130683/,浦东,北蔡,北艾路1200弄,31.18943676,121.5395512,2006,其它,其它,公寓,0.55,103019.0,1.8,1185.0,800.0,45.0,8.0,10.0,9.0,2.0,17.0,8.0,3.0,5.0,5.0,371.0,6.0,6.0,3.0,3.0,10.0,253.0,44.0,50.0,74596
13374,莲园路310弄小区,https://shanghai.anjuke.com/community/view/13374/,浦东,北蔡,莲园路310弄,31.19119224,121.5609215,1998,其它,业主自管,公寓,0.8,13057.0,1.7,400.0,320.0,30.0,8.0,5.0,9.0,0.0,0.0,10.0,2.0,2.0,1.0,254.0,6.0,1.0,2.0,1.0,10.0,319.0,54.0,123.0,52257
13837,绿川八街坊,https://shanghai.anjuke.com/community/view/13837/,浦东,北蔡,绿林路320号,31.17643962,121.5564824,1999,上海绿地（集团）有限公司,其它,公寓,0.9,72000.0,1.5,1470.0,150.0,38.0,4.0,9.0,0.0,0.0,0.0,10.0,3.0,3.0,2.0,229.0,0.0,0.0,0.0,0.0,7.0,95.0,7.0,35.0,53571
13936,莲中路250弄,https://shanghai.anjuke.com/community/view/13936/,浦东,北蔡,莲中路255弄,31.18952201,121.562974,1998,上海北蔡房地产发展有限公司,上海三凌物业管理有限公司,公寓,0.8,33500.0,1.7,560.0,200.0,32.0,9.0,8.0,5.0,0.0,20.0,10.0,2.0,1.0,1.0,235.0,7.0,4.0,2.0,3.0,10.0,276.0,47.0,118.0,51962
146775,和平小区（北蔡）,https://shanghai.anjuke.com/community/view/146775/,浦东,北蔡,沪南路577弄1-19号,31.19673645,121.559035,1998,其它,业主自管,公寓,0.6,15000.0,1.33,560.0,35.0,40.0,9.0,9.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,71.0,0.0,61440
147244,莲溪一居,https://shanghai.anjuke.com/community/view/147244/,浦东,北蔡,北中路354弄,31.18832854,121.56687279999998,1996,上海建工集团股份有限公司,其它,公寓,0.45,2000.0,1.8,300.0,168.0,35.0,7.0,8.0,5.0,0.0,17.0,10.0,2.0,1.0,1.0,193.0,6.0,5.0,2.0,2.0,10.0,254.0,44.0,117.0,50191
14900,天池小区,https://shanghai.anjuke.com/community/view/14900/,浦东,北蔡,莲园路8弄,31.19034651,121.5496779,2000,其它,其它,公寓,0.3,68000.0,1.4,732.0,460.0,38.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,58568
15147,龙港新村,https://shanghai.anjuke.com/community/view/15147/,浦东,北蔡,高科西路3050弄,31.19545312,121.5698335,1999,其它,其它,公寓,0.6,78500.0,1.7,790.0,230.0,35.0,9.0,8.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,43.0,110.0,54439
15350,人和新村,https://shanghai.anjuke.com/community/view/15350/,浦东,北蔡,御水路,31.16139609,121.5831483,1995,其它,其它,公寓,1.8,68000.0,2.3,852.0,460.0,20.0,8.0,5.0,3.0,1.0,4.0,6.0,1.0,0.0,1.0,74.0,5.0,4.0,1.0,1.0,7.0,159.0,13.0,35.0,47725
15357,鹏海东苑,https://shanghai.anjuke.com/community/view/15357/,浦东,北蔡,五星路239弄,31.18165577,121.5706752,1997,上海建工集团,其它,公寓,0.45,500000.0,1.3,1200.0,180.0,30.0,9.0,8.0,5.0,0.0,8.0,10.0,1.0,0.0,1.0,127.0,5.0,2.0,0.0,1.0,6.0,136.0,1.0,48.0,50850
15569,北蔡大街84号小区,https://shanghai.anjuke.com/community/view/15569/,浦东,北蔡,北蔡大街84号,31.19367749,121.5589905,2002,其它,其它,公寓,0.7,2000.0,1.4,300.0,200.0,32.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,50000
167616,南新三村,https://shanghai.anjuke.com/community/view/167616/,浦东,北蔡,下南路339弄1-68号,31.17629549,121.5489556,1997,绿地集团,其它,公寓,0.3,52000.0,1.9,720.0,120.0,30.0,10.0,7.0,5.0,0.0,14.0,9.0,2.0,3.0,2.0,273.0,6.0,8.0,2.0,2.0,7.0,176.0,20.0,50.0,48330
16764,莲溪路417弄,https://shanghai.anjuke.com/community/view/16764/,浦东,北蔡,莲溪路477弄,31.18708649,121.57275020000002,1996,上海北蔡房地产发展有限公司,其它,公寓,0.8,33500.0,1.7,560.0,180.0,30.0,6.0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,163.0,0.0,0.0,0.0,0.0,10.0,247.0,44.0,73.0,48611
167736,汇川路572号,https://shanghai.anjuke.com/community/view/167736/,浦东,北蔡,下南路276弄,31.17488216,121.5469687,1998,上海建工集团,其它,公寓,0.8,33500.0,1.8,560.0,180.0,30.0,7.0,7.0,10.0,5.0,12.0,9.0,2.0,3.0,2.0,277.0,7.0,9.0,3.0,2.0,7.0,215.0,26.0,62.0,43349
169498,紫叶路147弄,https://shanghai.anjuke.com/community/view/169498/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,33500.0,1.79,560.0,200.0,31.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,60799
169582,莲园路22号,https://shanghai.anjuke.com/community/view/169582/,浦东,北蔡,莲园路8弄,31.19034651,121.5496779,2000,其它,其它,公寓,0.3,33500.0,1.4,560.0,180.0,38.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,47199
170258,北蔡大街32弄,https://shanghai.anjuke.com/community/view/170258/,浦东,北蔡,北蔡大街32弄,31.19434762,121.5599876,1989,其它,其它,老公房,0.3,33500.0,1.8,440.0,68.0,30.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,58536
171230,北中路246号,https://shanghai.anjuke.com/community/view/171230/,浦东,北蔡,莲中路255弄,31.18952201,121.562974,1998,上海北蔡房地产发展有限公司,上海三凌物业管理有限公司,公寓,0.8,33500.0,1.7,250.0,60.0,32.0,5.0,8.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,235.0,0.0,0.0,0.0,0.0,10.0,288.0,47.0,118.0,41917
175723,莲园路378弄,https://shanghai.anjuke.com/community/view/175723/,浦东,北蔡,莲园路180弄,31.19050835,121.55718590000002,2001,上海建工集团,上海建工物业管理有限公司,公寓,0.9,33500.0,1.2,560.0,30.0,35.0,6.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,49.0,0.0,44269
176064,大华锦绣华城第二街区,https://shanghai.anjuke.com/community/view/176064/,浦东,北蔡,北艾路1500弄,31.18698396,121.5334536,2011,其它,其它,公寓,0.8,27000.0,1.8,300.0,88.0,60.0,9.0,10.0,6.0,1.0,28.0,8.0,4.0,6.0,5.0,396.0,0.0,5.0,3.0,2.0,7.0,252.0,37.0,71.0,65351
1774,文化馨苑,https://shanghai.anjuke.com/community/view/1774/,浦东,北蔡,博华路237弄,31.19085898,121.5513262,2004,其它,上海东莲物业管理有限公司,公寓,0.55,120000.0,2.4,1256.0,600.0,40.0,10.0,9.0,9.0,1.0,25.0,8.0,2.0,4.0,4.0,282.0,6.0,5.0,2.0,3.0,8.0,174.0,57.0,69.0,67898
177688,阳光驿站,https://shanghai.anjuke.com/community/view/177688/,浦东,北蔡,莲园路13161弄,31.21502778,121.5498275,1998,其它,其它,公寓,0.7,33500.0,1.7,560.0,180.0,32.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45879
178701,北中路1391弄,https://shanghai.anjuke.com/community/view/178701/,浦东,北蔡,北中路1391弄,31.19042162,121.5672622,1994,其它,其它,公寓,0.3,30000.0,1.5,300.0,60.0,50.0,3.0,9.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,210.0,0.0,0.0,0.0,0.0,10.0,253.0,46.0,118.0,34076
1806,莲业新村,https://shanghai.anjuke.com/community/view/1806/,浦东,北蔡,莲安西路125弄,31.18529714,121.55898909999998,1996,其它,业主自管,公寓,0.3,47900.0,2.0,580.0,90.0,30.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,56337
187012,紫叶花园,https://shanghai.anjuke.com/community/view/187012/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,20000.0,1.79,72.0,300.0,31.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,56089
187415,严民路40弄,https://shanghai.anjuke.com/community/view/187415/,浦东,北蔡,严民路40弄1-50号,31.19779613,121.5344649,1998,其它,上海由由物业管理有限公司,公寓,0.7,42000.0,2.0,360.0,120.0,20.0,6.0,6.0,9.0,1.0,21.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,3.0,10.0,103.0,40.0,0.0,53030
187418,严民路280弄,https://shanghai.anjuke.com/community/view/187418/,浦东,北蔡,严民路280弄,31.19604801,121.5351589,2000,上海由由房地产开发有限公司,上海由由物业管理有限公司,公寓,0.7,44000.0,2.0,420.0,120.0,20.0,7.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41627
192717,由由新景苑,https://shanghai.anjuke.com/community/view/192717/,浦东,北蔡,严中路47弄,31.20112815,121.5375071,2003,其它,上海由由物业管理有限公司,公寓,0.6,160000.0,2.0,1230.0,530.0,40.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,71822
2250,北蔡苑,https://shanghai.anjuke.com/community/view/2250/,浦东,北蔡,莲安西路185弄,31.18591163,121.5581261,1998,其它,上海东莲物业管理有限公司,公寓,0.5,37900.0,1.6,590.0,230.0,40.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,57538
2349,由由新佳苑,https://shanghai.anjuke.com/community/view/2349/,浦东,北蔡,严民路251弄,31.19512411,121.5376787,2001,其它,其它,公寓,0.6,80000.0,1.7,106.0,200.0,25.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,66091
244379,新陈路25弄,https://shanghai.anjuke.com/community/view/244379/,浦东,北蔡,莲中路318弄3-19号,31.18606533,121.5643861,1995,其它,其它,公寓,0.35,33500.0,1.4,560.0,145.0,30.0,6.0,8.0,6.0,0.0,20.0,10.0,2.0,1.0,1.0,205.0,6.0,6.0,2.0,4.0,10.0,241.0,35.0,102.0,43861
244507,鹏宏苑,https://shanghai.anjuke.com/community/view/244507/,浦东,北蔡,鹏飞路333弄,31.17784605,121.5640769,2009,其它,浦房物业管理有限公司,公寓,0.8,15000.0,1.2,800.0,500.0,30.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,53969
2543,御桥花园,https://shanghai.anjuke.com/community/view/2543/,浦东,北蔡,御山路347弄,31.15941271,121.57349170000002,2005,其它,其它,公寓,0.45,1800.0,2.0,1050.0,300.0,50.0,10.0,10.0,4.0,1.0,7.0,7.0,1.0,0.0,1.0,80.0,7.0,5.0,1.0,1.0,8.0,209.0,27.0,47.0,56778
258940,北中路230号,https://shanghai.anjuke.com/community/view/258940/,浦东,北蔡,莲中路255弄,31.18952201,121.562974,1998,上海北蔡房地产发展有限公司,上海三凌物业管理有限公司,公寓,0.8,20000.0,1.7,800.0,300.0,32.0,8.0,8.0,6.0,0.0,21.0,10.0,2.0,1.0,1.0,235.0,7.0,4.0,2.0,3.0,10.0,288.0,47.0,119.0,43589
2590,环龙公寓,https://shanghai.anjuke.com/community/view/2590/,浦东,北蔡,高科西路2907弄,31.19586372,121.5647278,2002,其它,上海中凯物业有限公司,公寓,1.5,67000.0,1.2,450.0,400.0,30.0,9.0,9.0,5.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,68.0,144.0,50542
2598,绿川新苑,https://shanghai.anjuke.com/community/view/2598/,浦东,北蔡,绿林路320弄,31.1790947,121.55384879999998,1998,绿地集团,其它,公寓,0.9,21000.0,2.0,980.0,150.0,40.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,50424
2681,锦华花园,https://shanghai.anjuke.com/community/view/2681/,浦东,北蔡,锦绣路2866弄,31.19212657,121.5457014,2000,其它,其它,公寓,1.45,120000.0,1.73,860.0,167.0,47.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,65330
2713,东莲大厦,https://shanghai.anjuke.com/community/view/2713/,浦东,北蔡,沪南路1105号,31.18720143,121.5626299,1998,其它,其它,公寓,1.0,3771.0,2.9,560.0,33.0,32.0,8.0,5.0,0.0,0.0,0.0,10.0,2.0,2.0,1.0,227.0,0.0,0.0,0.0,0.0,10.0,264.0,40.0,106.0,46557
2731,世外桃源花园别墅小区,https://shanghai.anjuke.com/community/view/2731/,浦东,北蔡,莲溪路99弄1-148号,31.19341346,121.56844879999998,2003,其它,上海中星集团申城物业有限公司,别墅,3.0,78524.0,1.7,140.0,785.0,45.0,10.0,9.0,5.0,0.0,15.0,10.0,2.0,1.0,1.0,219.0,6.0,4.0,3.0,3.0,10.0,276.0,58.0,117.0,70985
297392,高科西路1655弄1-9号,https://shanghai.anjuke.com/community/view/297392/,浦东,北蔡,高科西路1655弄1-9号,31.19584084,121.53350829999998,2001,其它,上海由由物业管理有限公司,其它,2.6,10000.0,0.2,9.0,15.0,10.0,7.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55125
314490,龙博公寓,https://shanghai.anjuke.com/community/view/314490/,浦东,北蔡,沪南路1168弄,31.18505029,121.5610996,2009,其它,其它,公寓,1.2,33500.0,3.6,654.0,180.0,28.0,10.0,8.0,6.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,8.0,264.0,36.0,104.0,60309
318,万邦都市花园,https://shanghai.anjuke.com/community/view/318/,浦东,北蔡,龙阳路1880弄,31.20752367,121.5600108,2004,其它,上海复欣物业管理发展有限公司,公寓,1.55,400000.0,1.7,6600.0,1200.0,60.0,10.0,9.0,10.0,0.0,0.0,8.0,2.0,2.0,3.0,317.0,6.0,0.0,0.0,0.0,8.0,327.0,56.0,117.0,72357
335065,华安公寓(浦东),https://shanghai.anjuke.com/community/view/335065/,浦东,北蔡,高科西路2960弄1-4号,31.19540895,121.5666459,1998,静安置业有限公司,其它,公寓,0.7,33500.0,1.7,560.0,180.0,30.0,8.0,7.0,6.0,0.0,0.0,10.0,2.0,1.0,1.0,243.0,6.0,0.0,0.0,0.0,8.0,291.0,64.0,145.0,53817
337,加东公寓,https://shanghai.anjuke.com/community/view/337/,浦东,北蔡,莲安西路125弄,31.18529714,121.55898909999998,1996,其它,业主自管,公寓,0.3,23000.0,2.0,680.0,360.0,30.0,9.0,6.0,6.0,0.0,22.0,10.0,2.0,2.0,1.0,221.0,6.0,4.0,2.0,3.0,8.0,261.0,39.0,92.0,56461
341,莲怡苑,https://shanghai.anjuke.com/community/view/341/,浦东,北蔡,莲溪路477弄,31.18708649,121.57275020000002,1996,上海北蔡房地产发展有限公司,其它,公寓,0.8,35000.0,1.7,348.0,238.0,30.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,61875
344,莲馨苑,https://shanghai.anjuke.com/community/view/344/,浦东,北蔡,莲园路630弄,31.19203112,121.5679285,2003,上海北蔡房地产发展有限公司,上海东莲物业管理有限公司,公寓,3.5,5000.0,2.0,200.0,200.0,40.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,62809
344545,芳华路370弄,https://shanghai.anjuke.com/community/view/344545/,浦东,北蔡,芳华路370弄,31.20206,121.564122,1999,上海花木开发有限公司,其它,老公房,0.6,33500.0,1.7,560.0,86.0,32.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,47916
351,莲溪大楼,https://shanghai.anjuke.com/community/view/351/,浦东,北蔡,北中路408弄,31.18969886,121.56652959999998,1998,其它,其它,公寓,0.35,52145.0,2.3,236.0,180.0,30.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,50863
359,紫竹轩,https://shanghai.anjuke.com/community/view/359/,浦东,北蔡,莲园路180弄,31.19050835,121.55718590000002,2001,上海建工集团,上海建工物业管理有限公司,公寓,0.9,10000.0,1.2,560.0,350.0,35.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,58861
361,紫叶小区（一至二期） ,https://shanghai.anjuke.com/community/view/361/,浦东,北蔡,沪南路1105号,31.1877828,121.5588986,1996,上海建工集团,上海绿地物业管理有限公司,公寓,1.2,30000.0,1.79,560.0,90.0,31.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,54458
363909,鹏丰苑南区,https://shanghai.anjuke.com/community/view/363909/,浦东,北蔡,鹏飞路411弄,31.17804058,121.5614483,2011,其它,其它,公寓,1.5,180000.0,1.2,500.0,1030.0,40.0,8.0,8.0,5.5,0.0,8.5,10.0,2.0,1.0,1.0,223.0,6.0,4.0,1.0,1.0,8.0,236.5,40.0,62.0,57209
370121,万科五玠坊,https://shanghai.anjuke.com/community/view/370121/,浦东,北蔡,杨南路1705弄,31.16792619,121.52931370000002,2006,其它,上海万科物业管理有限公司,公寓,5.85,18600.0,1.0,350.0,800.0,40.0,10.0,10.0,9.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,7.0,154.0,22.0,0.0,69679
